Variable_ID,Description
year,ERHEBUNGSJAHR
ps03,ZUFRIEDEN MIT DEMOKRATIE IN DEUTSCHLAND?
pa01,"LINKS-RECHTS-SELBSTEINSTUFUNG, BEFR."
pa22,"LINKS-RECHTS-PARTEIEINSTUFUNG, CDU"
pa23,"LINKS-RECHTS-PARTEIEINSTUFUNG, CSU"
pa24,"LINKS-RECHTS-PARTEIEINSTUFUNG, SPD"
pa25,"LINKS-RECHTS-PARTEIEINSTUFUNG, FDP"
pa26,"LINKS-RECHTS-PARTEIEINSTUFUNG, LINKE"
pa27,"LINKS-RECHTS-PARTEIEINSTUFUNG, GRUENE"
pa16,UMVERTEILUNG ZU GUNSTEN EINFACHER LEUTE?
pd04,GEWALT IN DEMOKRATIE IST NOTWENDIG
pd07,DEMOKRATIE BRAUCHT OPPOSITION (A)
pd12,BEWERTUNG VON DEMOKRATIE ALS IDEE
pe12,VOLKSABSTIMMUNG BESTANDTEIL V.DEMOKRATIE
pc01,KONFLIKT: LINKS-RECHTS
pr06,ZUKUNFT IM OSTEN HAENGT VON LEISTUNG AB
pn01,BIN STOLZ AUF: GRUNDGESETZ
pn02,BIN STOLZ AUF: BUNDESTAG
pn03,BIN STOLZ AUF: DEUTSCHE SPORTLER
pn04,BIN STOLZ AUF: DT. WIRTSCHAFTL. ERFOLG
pn05,"BIN STOLZ AUF: DEUTSCHE KUNST,LITERATUR"
pn06,BIN STOLZ AUF: DT.WISSENSCHAFTL.LEISTUNG
pn07,BIN STOLZ AUF: DT.SOZIALSTAATL.LEISTUNG
pn08,BIN STOLZ AUF: AN ERSTER STELLE
pn09,BIN STOLZ AUF: AN ZWEITER STELLE
pn10,BIN STOLZ AUF: AN DRITTER STELLE
pn11,"GENERELLER STOLZ, DEUTSCHER ZU SEIN"
px01,"ZUSTIMMUNG: STOLZ, DEUTSCHER ZU SEIN"
px02,ZUSTIMMUNG: MEHR MUT ZU NATIONALGEFUEHL
px04,ZUSTIMM.: NATIONALSOZ. HATTE GUTE SEITEN
px08,ZUSTIMMUNG: EINFLUSS VON JUDEN ZU GROSS
px09,ZUSTIMMUNG: JUDEN SIND EIGENTUEMLICH
px10,ZUSTIMMUNG: ANSCHLAEGE ASYLBEWERBERHEIME
id03,"OBEN-UNTEN-SKALA: SELBSTEINSTUF., BEFR."
id04,BERUFSERFOLGVERGLEICH: BEFR. MIT VATER
dw41,"BERUFSERFOLG, WIE URSPRUENGL. ERWARTET?"
dw42,"BERUFSERFOLG, ERWARTUNG FUER D.ZUKUNFT"
im19,EINKOMMENSDIFFERENZ ERHOEHT MOTIVATION
im28,GERECHT: EINKOMMEN GLEICH VERTEILT
mi01,ZUZUG VON: AUSSIEDLERN AUS OSTEUROPA
mi02,ZUZUG VON: ASYLSUCHENDEN
mi03,ZUZUG VON: EU-ARBEITNEHMERN
mi04,ZUZUG VON: NICHT-EU-ARBEITNEHMERN
mi05,ZUZUG VON: KRIEGSFLUECHTLINGEN
mi06,ZUZUG VON: POLITISCH VERFOLGTEN
mi07,ZUZUG VON: WIRTSCHAFTSMIGRANTEN
mi08,ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA
mi09,ZUZUG VON: ARBEITN. ANDERER EU-STAATEN
mi10,ZUZUG VON: NICHT-EU-ARBEITSKRAEFTEN
mi11,"ZUZUG VON: EHEPARTNER,KINDER V.MIGRANTEN"
mc01,AUSLAENDER: KONTAKT I.D.EIGENEN FAMILIE?
mc02,AUSLAENDER: KONTAKT BEI DER ARBEIT?
mc03,AUSLAENDER: KONTAKT IN D. NACHBARSCHAFT?
mc04,AUSLAENDER: KONTAKT IM FREUNDESKREIS?
ma08,AN SCHULEN AUCH ISLAMUNTERRICHT ERLAUBEN
mg03,LEBENSSTILUNTERSCHIED: ASYLBEWERB. I.BRD
mg05,LEBENSSTILUNTERSCHIED: JUDEN IN BRD
