Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District,poverty_rate,kids_per_household,unmarried_ratio
Labour,1,"Lowest class, loafers, &c.",224.0,224.0,73.0,104.0,91.0,716.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,Mile_End_Old_Town,1.0,0.32589285714285715,0.1270949720670391
Labour,2,Casual day-to-day labour,673.0,673.0,1215.0,302.0,350.0,3213.0,0.0,3113.0,100.0,0.0,0.0,0.0,0.0,0.0,3213.0,Mile_End_Old_Town,1.0,1.8053491827637445,0.10893246187363835
Labour,3,Irregular labour,492.0,492.0,974.0,240.0,200.0,2398.0,0.0,575.0,1623.0,0.0,200.0,0.0,0.0,0.0,2398.0,Mile_End_Old_Town,0.9165971643035863,1.9796747967479675,0.08340283569641367
Labour,4,"Regular work, low pay",688.0,688.0,1183.0,294.0,279.0,3132.0,0.0,45.0,0.0,3087.0,0.0,0.0,0.0,0.0,3132.0,Mile_End_Old_Town,1.0,1.7194767441860466,0.08908045977011494
Labour,5,"Regular work, ordinary pay",2886.0,2886.0,5418.0,1345.0,1171.0,13706.0,0.0,54.0,0.0,2508.0,11144.0,0.0,0.0,0.0,13706.0,Mile_End_Old_Town,0.18692543411644535,1.8773388773388773,0.08543703487523713
Labour,6,Foremen and responsible work,558.0,558.0,1037.0,256.0,227.0,2636.0,0.0,0.0,0.0,0.0,36.0,2600.0,0.0,0.0,2636.0,Mile_End_Old_Town,0.0,1.8584229390681004,0.08611532625189681
Artisans,7,Building trades,1290.0,1290.0,2445.0,604.0,523.0,6152.0,9.0,360.0,492.0,738.0,4245.0,308.0,0.0,0.0,6152.0,Mile_End_Old_Town,0.25991547464239273,1.8953488372093024,0.08501300390117035
Artisans,8,"Furniture, wood-work, &c.",1166.0,1166.0,2351.0,582.0,474.0,5739.0,9.0,278.0,344.0,746.0,3960.0,402.0,0.0,0.0,5739.0,Mile_End_Old_Town,0.23993727130162049,2.0162950257289878,0.08259278619968635
Artisans,9,Machinery and metals,819.0,819.0,1585.0,394.0,332.0,3949.0,9.0,109.0,142.0,288.0,2848.0,553.0,0.0,0.0,3949.0,Mile_End_Old_Town,0.13876930868574322,1.9352869352869353,0.08407191694099772
Artisans,10,Sundry artisans,1243.0,1243.0,2326.0,574.0,504.0,5890.0,9.0,145.0,416.0,417.0,2600.0,2303.0,0.0,0.0,5890.0,Mile_End_Old_Town,0.16757215619694396,1.8712791633145616,0.08556876061120543
Artisans,11,Dress,1227.0,1227.0,2362.0,582.0,498.0,5896.0,0.0,59.0,58.0,1297.0,3834.0,648.0,0.0,0.0,5896.0,Mile_End_Old_Town,0.2398236092265943,1.9250203748981256,0.0844640434192673
