Class,,Description,Heads of Famlies,Wives,Children -15,Young Persons 15-20,Unmarried Males of 20 and Widowers,Total,A,B,C,D,E,F,G,H,Total
Labour,1,Loafers and criminals,390,390,69,200,136,1185,1185,,,,,,,,1185
,2,Casual day-to-day-labour,1191,1191,2476,580,422,5860,,5680,180,,,,,,5860
,3,Irregular Labour,562,562,1171,274,196,2765,,638,2050,,77,,,,2765
,4,"Regular work, low pay",1048,1048,2011,470,365,4942,,223,,4686,33,,,,4942
,5,"Regular work, ordinary pay",1928,1928,3757,878,671,9162,,8,,880,8199,75,,,9162
,6,Foremen and responsible work,207,207,451,105,72,1042,,,,,44,998,,,1042
Artisans,7,Building trades,1148,1148,2376,557,400,5629,8,592,1204,480,2873,472,,,5629
,8,"Furniture, woodwork",3696,3696,8025,1879,1302,18598,17,2950,3100,3170,8600,761,,,18598
,9,Machinery and metals,738,738,1575,370,257,3678,9,253,570,280,1974,592,,,3678
,10a,Printing,592,592,1214,285,207,2890,,86,240,146,1878,540,,,2890
,10b,"Watches, instruments",134,134,284,66,47,665,,61,95,43,310,156,,,665
,10c,Furs and leather,301,301,610,142,105,1459,,136,263,170,771,119,,,1459
,10d,Silk weaving,284,284,515,120,99,1302,,160,379,112,523,128,,,1302
,10e,Sundry artisans,776,776,1585,370,271,3778,18,742,460,708,1714,136,,,3778
,11,Dress,2551,2551,5374,1258,887,12621,9,2010,2340,2360,5494,408,,,12621
,12,Food preparation,528,528,1104,259,184,2603,9,180,283,508,1519,104,,,2603
Locomotion,13,Railway servants,254,254,550,128,89,1275,,26,9,176,834,230,,,1275
,14,Road Service,197,197,379,89,69,931,,74,82,141,568,66,,,931
Assistants,15,Shops,663,663,1356,317,231,3230,,196,94,718,1897,325,,,3230
,16,"Police, soldiers, and sub-officials",301,301,601,140,105,1448,,,,51,1160,237,,,1448
Other wages,17,Seamen,35,35,59,14,12,155,,8,16,54,77,,,,155
,18,Other wage earners,568,568,902,210,198,2446,,91,196,295,1451,413,,,2446
Manufacturers,19,Home industries (not employing),981,981,2172,507,341,4982,9,660,851,393,2000,1060,9,,4982
,20,Small employers,759,759,1786,418,266,3988,,27,9,64,366,2343,1170,9,3988
,21,Large employers,75,75,215,50,26,441,,,,,,,308,133,441
Dealers,22,Street sellers,831,831,1749,408,290,4109,69,1638,1175,501,683,43,,,4109
,23,General dealers,226,226,459,107,79,1097,8,59,162,162,467,222,17,,1097
,24,Small shops,737,737,1488,348,257,3567,,51,93,322,1825,1183,93,,3567
,25,Large shops (employing assistants),512,512,1158,270,176,2628,,,,,36,755,1067,770,2628
Refreshment,26,Coffee and boarding houses,77,77,154,35,27,370,,,,33,84,169,84,,370
,27,Licensed houses,187,187,391,91,65,921,,,17,34,188,230,341,111,921
Salaried,28,Clerks and Agents,489,489,953,224,170,2325,,,17,117,830,1270,91,,2325
,29,Subordinate professional,112,112,225,52,39,540,,,8,17,79,274,162,,540
,30,Professional,117,117,229,53,41,557,,,,,,33,50,474,557
No work,31,Ill and no occupation,74,74,153,35,25,361,,284,26,17,26,8,,,361
,32,Independent,21,21,24,6,7,79,,,,,46,7,26,,79
Females,33,Semi-domestic employment,797,,1226,288,,2311,19,1232,590,305,160,5,,,2311
,34,Dress,359,,558,131,,1048,,340,268,277,163,,,,1048
,35,Small trades,408,,662,156,,1226,25,555,186,263,172,25,,,1226
,36,Employing and professional,57,,89,20,,166,,,,24,33,61,48,,166
,37,Supported,133,,188,44,,365,,45,22,104,189,5,,,365
,38,Independent,43,,51,12,,106,,,,4,49,4,49,,106
,39,Other Adult women,,,,,,8790,104,1400,1110,1311,3500,995,260,110,8790
,,,,,,,,,1489,20405,16095,18926,50892,14452,3775,1607,127641
,,Inmates of Institutions,,,,,,2359,,,,,,,,,
