Variable_ID,Description
za_nr,STUDIENNUMMER
doi,DIGITAL OBJECT IDENTIFIER
version,RELEASE
year,ERHEBUNGSJAHR
respid,IDENTIFIKATIONSNUMMER DES BEFRAGTEN
ep01,WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE
ep02,WIRTSCHAFTSLAGE IM EIG. BUNDESLAND HEUTE
ep03,"WIRTSCHAFTSLAGE, BEFR. HEUTE"
ep04,WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR
ep05,WIRT.LAGE IM EIGEN. BUNDESLAND IN 1 JAHR
ep06,"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR"
ps01,ZUFRIEDEN MIT LEISTUNG D.BUNDESREGIERUNG
ps02,ZUFRIEDEN MIT LEISTUNG D.LANDESREGIERUNG
ps03,ZUFRIEDEN MIT DEMOKRATIE IN DEUTSCHLAND?
ps04,FUNKTIONIERT UNSER POLITISCHES SYSTEM?
pa01,"LINKS-RECHTS-SELBSTEINSTUFUNG, BEFR."
pa22,"LINKS-RECHTS-PARTEIEINSTUFUNG, CDU"
pa23,"LINKS-RECHTS-PARTEIEINSTUFUNG, CSU"
pa24,"LINKS-RECHTS-PARTEIEINSTUFUNG, SPD"
pa25,"LINKS-RECHTS-PARTEIEINSTUFUNG, FDP"
pa26,"LINKS-RECHTS-PARTEIEINSTUFUNG, LINKE"
pa27,"LINKS-RECHTS-PARTEIEINSTUFUNG, GRUENE"
pa02a,"POLITISCHES INTERESSE, BEFR. (ORDINAL)"
pa02b,"POLITISCHES INTERESSE, BEFR.(10ER SKALA)"
pa03,PARTEIPRAEFERENZ VORHANDEN?
pa04,"PARTEIPRAEFERENZ, BEFR."
pv01,BEFR.: WAHLABSICHT BUNDESTAGSWAHL
pv01b,"WAHLABSICHT, BERLINER ABGEORDNETENHAUS"
pv02,"WAHLBERECHTIGUNG, LETZTE BUNDESTAGSWAHL?"
pv03,"WAHLBETEILIGUNG, LETZTE BUNDESTAGSWAHL?"
pv04,"ZWEITSTIMME, LETZTE BUNDESTAGSWAHL"
pv05,WARUM KEINE BERECHTIG. Z.BUNDESTAGSWAHL?
pv06,WARUM HAT BEFR. NICHT GEWAEHLT?
pv07,"WAHLBERECHTIGUNG, LETZTE BERLINER WAHL?"
pv08,"WAHLBETEILIGUNG, LETZTE BERLINER WAHL?"
pv09,"ZWEITSTIMME, LETZTE BERLINER WAHL"
pv10,WAHLBERECHTIGT BEI LANDTAGSWAHL?
pv11,HABEN SIE BEI LANDTAGSWAHL GEWAEHLT?
pv12,CDU-SYMPATHIE-THERMOMETER
pv13,SPD-SYMPATHIE-THERMOMETER
pv14,CSU-SYMPATHIE-THERMOMETER
pv15,FDP-SYMPATHIE-THERMOMETER
pv16,REPUBLIKANER + NPD-SYMPATHIE-THERMOMETER
pv17,PDS + DKP-SYMPATHIE-THERMOMETER
pv18,BUENDNIS 90+GRUENE-SYMPATHIE-THERMOMETER
pv19,WAHRSCHEINLICHKEIT: CDU-CSU WAEHLEN
pv20,WAHRSCHEINLICHKEIT: SPD WAEHLEN
pv21,WAHRSCHEINLICHKEIT: FDP WAEHLEN
pv22,WAHRSCHEINL.: BUENDNIS 90-GRUENE WAEHLEN
pv23,WAHRSCHEINLICHKEIT: PDS/LINKE WAEHLEN
pp01,POLIT. AKTIVITAET: BUERGERINITIATIVE
pp02,POLIT. AKTIV.: UNTERSCHRIFTENSAMMLUNG
pp03,POLIT. AKTIVITAET: BOYKOTT
pp04,POLIT. AKTIVITAET: DEMONSTRATION
pp05,POLIT. AKTIVITAET: BESETZUNGSAKTION
pp06,GGFS. BEKANNTEN POLIT. MEINUNG SAGEN
pp07,GGFS. MICH AN WAHLEN BETEILIGEN
pp08,GGFS. AN OEFF. DISKUSSIONEN BETEILIGEN
pp09,GGFS. IN EINER BUERGERINITIATIVE MITARB.
pp10,GGFS. IN EINER PARTEI MITARBEITEN
pp11,GGFS. KANDIDATEN UNTERSTUETZEN
pp12,GGFS. TEILNAHME AN UNGENEHMIGTER DEMO.
pp13,GGFS. TEILNAHME AN BESETZUNGSAKTIONEN
pp14,GGFS. KRACH SCHLAGEN BEI DEMONSTRATION
pp15,GGFS. KAMPF MIT GEWALT GEGEN PERSONEN
pp16,GGFS. POLITISCHE GEGNER EINSCHUECHTERN
pp17,GGFS. TEILNAHME AN GENEHMIGTER DEMO.
pp18,GGFS. NICHT AN WAHLEN BETEILIGEN
pp19,GGFS. ANDERE PARTEI WAEHLEN
pp20,GGFS. TEILN. AN UNTERSCHRIFTENSAMMLUNG
pp22,GGFS. KRITISCHER KONSUM
pp23,GGFS. TEILNAHME AN ONLINE-PROTESTAKTION
pp62,GGFS. IN SOZ. MEDIEN POL. MEINUNG SAGEN
pp24,HABE SCHON POLITISCHE MEINUNG GESAGT
pp25,HABE MICH AN WAHLEN BETEILIGT
pp26,HABE AN OEFFENTL.DISKUSSIONEN TEILGENOM.
pp27,HABE IN BUERGERINITIATIVE MITGEARBEITET
pp28,HABE SCHON IN PARTEI MITGEARBEITET
pp29,HABE SCHON KANDIDATEN UNTERSTUETZT
