Section,ID,Description,Heads of Families,Wives,Children (under 15),Young Persons (15-20),Unmarried Men/Widowers over 20,Total,A,B,C,D,E,F,G,H,Total
Labour,1,"Lowest class, loafers, &c.",374,374,158,192,162,1260,1260,0,0,0,0,0,0,0,1260
Labour,2,Casual day-to-day labour,624,624,1332,312,271,3163,0,3146,17,0,0,0,0,0,3163
Labour,3,Irregular labour,498,498,1087,255,217,2555,0,942,1536,0,77,0,0,0,2555
Labour,4,"Regular work, low pay",1002,1002,2128,501,435,5068,0,440,0,4569,59,0,0,0,5068
Labour,5,"Regular work, ordinary pay",1629,1629,3248,764,706,7976,0,8,0,753,7100,115,0,0,7976
Labour,6,Foremen and responsible work,311,311,654,153,135,1564,0,0,0,0,18,1546,0,0,1564
Artisans,7,Building trades,2593,2593,5598,1318,1124,13226,43,1613,2065,700,6570,2235,0,0,13226
Artisans,8,"Furniture, woodwork, &c.",1517,1517,3225,759,658,7676,8,874,890,668,4278,958,0,0,7676
Artisans,9,Machinery and metals,620,620,1448,340,268,3296,18,240,107,205,1826,900,0,0,3296
Artisans,10-A,Printing,773,773,1598,374,335,3853,0,50,209,84,1596,1914,0,0,3853
Artisans,10-B,"Watches, instruments, &c.",431,431,922,215,186,2185,9,136,43,154,802,1041,0,0,2185
Artisans,10-C,Furs and leather,296,296,662,155,128,1537,0,182,148,182,825,200,0,0,1537
Artisans,10-D,Silk weaving,7,7,15,4,3,36,0,0,0,18,18,0,0,0,36
Artisans,10-E,Sundry artisans,632,632,1293,302,274,3133,17,265,257,621,1600,373,0,0,3133
Artisans,11,Dress,1696,1696,3507,826,736,8461,0,1280,1457,1120,3904,700,0,0,8461
Artisans,12,Food preparation,358,358,741,173,156,1786,8,134,94,242,1141,167,0,0,1786
Locomotion,13,Railway servants,382,382,787,185,165,1901,8,25,0,208,1078,582,0,0,1901
Locomotion,14,Road service,592,592,1304,306,257,3051,0,292,250,457,1682,370,0,0,3051
Assistants,15,Shops and refreshment houses,1015,1015,2113,496,440,5079,0,268,126,756,3175,754,0,0,5079
Other wages,16,"Police, soldiers, and sub-officials",452,452,941,221,196,2262,0,8,50,34,1750,420,0,0,2262
Other wages,17,Seamen,52,52,78,18,22,222,0,14,0,14,172,22,0,0,222
Other wages,18,Other wage earners,774,774,1311,306,335,3500,8,121,129,363,2046,833,0,0,3500
Manufacture,19,Home industries (not employing),850,850,1796,421,368,4285,8,515,480,396,1467,1360,59,0,4285
Manufacture,20,Small employers,828,828,1888,443,358,4345,0,9,9,9,176,2476,1605,61,4345
Manufacture,21,Large employers,62,62,154,36,27,341,0,0,0,0,0,0,185,156,341
Dealers,22,"Street sellers, &c.",357,357,806,189,155,1864,44,507,544,157,507,105,0,0,1864
Dealers,23,General dealers,172,172,379,89,75,887,17,69,69,52,250,353,77,0,887
Dealers,24,Small shops,693,693,1364,319,300,3369,0,73,73,309,1277,1515,122,0,3369
Dealers,25,Large (with assistants),455,455,1070,251,197,2428,0,0,0,0,9,797,1515,107,2428
Refreshments,26,Coffee and boarding houses,53,53,113,26,23,268,0,0,0,25,84,134,25,0,268
Refreshments,27,Licensed houses,96,96,185,44,41,462,0,0,16,0,57,122,194,73,462
Salaried &c.,28,Clerks and agents,3269,3269,6492,1521,1418,15969,0,295,196,320,2880,7500,4360,418,15969
Salaried &c.,29,Subordinate professional,420,420,869,204,182,2095,0,17,33,8,184,970,850,33,2095
Salaried &c.,30,Professional,234,234,495,116,102,1181,0,0,0,0,0,109,372,700,1181
No work,31,Ill and no occupation,83,83,185,44,36,431,0,328,69,17,17,0,0,0,431
No work,32,Independent,122,122,179,42,52,517,0,0,0,0,170,184,141,22,517
Females,33,Semi-domestic employment,1010,0,1629,382,0,3021,15,1580,494,494,403,85,0,0,3021
Females,34,Dress,368,0,572,133,0,1073,0,291,131,302,315,34,0,0,1073
Females,35,Small trades,175,0,308,72,0,555,0,174,37,153,169,37,5,0,555
Females,36,Employing and professional,85,0,138,32,0,255,0,0,0,20,105,90,40,0,255
Females,37,Supported,172,0,252,59,0,483,0,80,28,75,230,65,5,0,483
Females,38,Independent,178,0,238,56,0,472,0,0,0,26,215,101,130,0,472
Other,39,Other adult women,0,0,0,0,0,15773,184,1734,1184,1668,5993,3595,1219,196,15773
Other,40,Population of unscheduled houses,0,0,0,0,0,40000,0,0,0,0,8500,0,0,31500,40000
Total,Total,,26310,24322,53262,12654,10543,182864,1647,15710,10741,15159,62725,32712,10904,33266,182864
