Class,,Description,Heads of Famlies,Wives,Children -15,Young Persons 15-20,Unmarried Males of 20 and Widowers,Total,A,B,C,D,E,F,G,H,Total
Labour,1,Loafers and criminals,2491,2490,736,1424,1916,9050,9050,,,,,,,,9050
,2,Casual day-to-day-labour,8725,8605,16316,3975,4634,42505,,41307,1198,,,,,,42505
,3,Irregular Labour,4358,4335,8553,2075,1841,21165,,4541,15275,1349,,,,,21165
,4,"Regular work, low pay",8412,8351,15636,3730,3433,39562,,,38236,1327,,,,,39562
,5,"Regular work",16019,15937,30949,7546,6776,77227,,,11171,65507,252,,,,77227
,6,Foremen and responsible work,3555,3529,7132,1692,1486,17394,,,,,17042,343,,,
Artisans,7,Building trades,10377,10324,20980,5008,4226,50915,132,4390,6624,5979,28668,5122,,,50915
,8,"Furniture, woodwork",13119,13069,26878,6463,5197,64726,106,6446,7541,10551,35774,4299,,,64726
,9,Machinery and metals,7314,7255,14689,3481,4943,35682,63,1458,2172,3740,23845,4404,,,35682
,10,Sundry artisans,11106,11070,21797,5277,4543,53793,100,3046,4811,6477,27268,12091,,,53793
,11,Dress,11960,11904,23574,6000,4251,59062,63,6973,9358,12670,27420,3277,,,59062
,12,Food preparation,4406,4384,8820,2224,1961,21792,35,821,1300,3602,15569,465,,,21792
Locomotion,13,Railway servants,1972,1956,4098,946,801,9683,8,138,726,5160,3642,,,,9683
,14,Road Service,2001,1995,4092,989,838,9915,,505,601,1680,6008,831,,,
Assistants,15,Shops,4451,4442,8683,2097,1835,21514,18,899,490,3121,14449,2537,,,
,16,"Police, soldiers, and sub-officials",2618,2603,5192,1256,1094,12763,,201,50,808,10827,877,,,
Other wages,17,Seamen,2550,2524,3899,914,961,10448,,283,769,485,8319,22,,,
,18,Other wage earners,3667,3657,6580,1323,1476,16703,26,504,775,1884,10411,2003,,,16703
Manufacturers,19,Home industries (not employing),3920,3911,8131,1972,1606,19540,17,1887,3325,1708,9213,3342,68,,19540
,20,Small employers,4464,4445,10167,2526,1937,23539,,86,27,429,3924,12948,6301,574,23539
,21,Large employers,511,510,1134,279,224,2658,,,,,,318,1781,87,472
Dealers,22,Street sellers,3004,2902,6067,1500,1452,15015,302,3461,4378,2966,4200,318,,,15015
,23,General dealers,1956,1975,4042,1034,1003,9940,69,397,1514,1251,4106,2415,198,,9940
,24,Small shops,5057,5030,9413,2805,2155,23960,,235,266,2016,19820,7507,1556,,23960
,25,Large shops (employing assistants),3078,3064,6581,1600,1296,15629,,,,,292,4766,6032,4538,15629
Refreshment,26,Coffee and boarding houses,606,599,1167,285,265,2922,,,102,80,1081,1059,,,2922
,27,Licensed houses,1327,1321,2497,614,569,6328,9,83,419,1226,3319,1427,,,6328
Salaried,28,Clerks and Agents,7999,7967,15461,3694,3347,38468,,483,721,1957,11528,15432,7260,1107,38468
,29,Subordinate professional,1868,1848,3665,878,770,9021,,137,200,553,2600,3496,1915,1174,9021
,30,Professional,913,909,1837,441,375,4485,,,,,,302,682,3444,
No work,31,Ill and no occupation,605,600,1176,288,261,2930,,2044,461,200,172,53,,,2930
,32,Independent,443,441,627,148,182,1841,,,,,801,447,518,75,1841
Females,33,Semi-domestic employment,5528,,8189,1986,,15603,59,6990,8410,2930,2074,40,,,15603
,34,Dress,2524,,3773,923,,7220,,2068,1596,2048,1485,39,,,7220
,35,Small trades,1889,,3027,741,,5657,55,1842,944,1315,1334,107,,,5657
,36,Employing and professional,363,,580,139,,1082,,,,,140,830,257,,1082
,37,Supported,1072,,1566,581,,3022,,400,178,660,1713,70,,,3022
,38,Independent,574,,774,188,,1536,,,,70,639,230,597,,1536
,39,Other Adult women,,,,,,68541,876,7799,5978,10108,29444,10167,3014,1055,68541
,40,Population unscheduled houses,,,,,,40000,,,,,,,31500,,40000
