Class,,Description,Heads of Famlies,Wives,Children -15,Young Persons 15-20,Unmarried Males of 20 and Widowers,Total,A,B,C,D,E,F,G,H,Total
Labour,1,Loafers and criminals,409,403,139,352,795,2098,2098,,,,,,,,2098
,2,Casual day-to-day-labour,500,493,825,238,793,3029,,2939,90,,,,,,3029
,3,Irregular Labour,295,291,544,158,174,1462,,192,1184,86,,,,,1462
,4,"Regular work, low pay",401,395,678,197,236,1907,,90,,1817,,,,,1907
,5,"Regular work",1272,1256,2377,689,749,6343,,,,1079,5264,,,,6343
,6,Foremen and responsible work,115,114,244,70,68,611,,,,,32,579,,,611
Artisans,7,Building trades,258,255,511,149,153,1326,,53,145,265,809,53,,,1326
,8,"Furniture, woodwork",364,359,708,206,210,1853,,130,139,315,1195,65,,,1853
,9,Machinery and metals,185,183,327,95,109,899,,97,389,388,25,,,,899
,10,Sundry artisans,618,608,1120,327,362,3035,,924,3430,3206,6348,480,,,3035
,11,Dress,2597,2556,5221,1507,1525,13406,,83,,1016,3753,,,,13406
,12,Food preparation,913,904,1940,540,540,4885,,17,,67,364,,,,4885
Locomotion,13,Railway servants,107,106,173,49,63,498,,,,,,42,,,498
,14,Road Service,127,126,253,73,75,654,,,,,,135,,,654
Assistants,15,Shops,226,223,427,124,132,1132,,,,,,899,,,1132
,16,"Police, soldiers, and sub-officials",215,212,429,124,126,1106,,,,,,1106,,,1106
Other wages,17,Seamen,27,26,48,14,15,130,,,,,,130,,,130
,18,Other wage earners,76,75,145,42,44,382,,,,,,382,,,382
Manufacturers,19,Home industries (not employing),238,236,474,139,140,1227,,,,,,1227,,,1227
,20,Small employers,673,662,1689,480,406,3918,,,,,3918,,,,3918
,21,Large employers,100,100,148,43,58,449,,,,,,449,,,449
Dealers,22,Street sellers,523,516,1048,301,468,2856,72,276,938,544,974,52,,,2856
,23,General dealers,577,569,1163,338,337,2984,18,57,552,450,1250,607,50,,2984
,24,Small shops,637,630,1157,336,372,3132,,16,24,305,1564,922,301,,3132
,25,Large shops (employing assistants),350,345,690,200,206,1791,,,,24,520,720,527,,1791
Refreshment,26,Coffee and boarding houses,96,94,189,54,57,493,,,,,79,182,232,,493
,27,Licensed houses,156,154,265,76,91,742,,,,5,13,119,386,219,742
Salaried,28,Clerks and Agents,266,262,514,149,155,1346,,,,27,54,540,120,150,1346
,29,Subordinate professional,82,81,173,53,48,437,,,,8,32,162,165,80,437
,30,Professional,37,37,67,20,21,182,,,,,16,16,150,,182
No work,31,Ill and no occupation,93,91,158,46,54,442,,31,32,,32,9,16,,442
,32,Independent,14,14,9,2,8,47,,,,,23,8,16,,47
Females,33,Semi-domestic employment,361,,578,169,,1108,5,334,329,216,224,,,,1108
,34,Dress,151,,250,73,,474,,102,140,167,65,,,,474
,35,Small trades,141,,206,77,,484,5,91,123,124,136,,,,484
,36,Employing and professional,30,,39,11,,80,,,,,10,40,15,,80
,37,Supported,111,,166,49,,326,,48,30,120,128,,,,326
,38,Independent,25,,34,10,,69,,,,,27,5,27,,69
,39,Other Adult women,,,,,,8790,196,651,556,1047,2663,699,277,112,8790
,,,,,,,,,2439,6566,7842,11980,31825,8277,3255,1334,73518
,,Inmates of Institutions,,,,,,2359,,,,,,,,,
